,Unnamed: 0,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
0,0,39,7,77516,9,13,4,1,1,4,1,2174,0,40,39
1,1,50,6,83311,9,13,2,4,0,4,1,0,0,13,39
2,2,38,4,215646,11,9,0,6,1,4,1,0,0,40,39
3,3,53,4,234721,1,7,2,6,0,2,1,0,0,40,39
4,4,28,4,338409,9,13,2,10,5,2,0,0,0,40,5
5,5,37,4,284582,12,14,2,4,5,4,0,0,0,40,39
6,6,49,4,160187,6,5,3,8,1,2,0,0,0,16,23
7,7,52,6,209642,11,9,2,4,0,4,1,0,0,45,39
8,8,31,4,45781,12,14,4,10,1,4,0,14084,0,50,39
9,9,42,4,159449,9,13,2,4,0,4,1,5178,0,40,39
10,10,37,4,280464,15,10,2,4,0,2,1,0,0,80,39
11,11,30,7,141297,9,13,2,10,0,1,1,0,0,40,19
12,12,23,4,122272,9,13,4,1,3,4,0,0,0,30,39
13,13,32,4,205019,7,12,4,12,1,2,1,0,0,50,39
14,14,40,4,121772,8,11,2,3,0,1,1,0,0,40,0
15,15,34,4,245487,5,4,2,14,0,0,1,0,0,45,26
16,16,25,6,176756,11,9,4,5,3,4,1,0,0,35,39
17,17,32,4,186824,11,9,4,7,4,4,1,0,0,40,39
18,18,38,4,28887,1,7,2,12,0,4,1,0,0,50,39
19,19,43,6,292175,12,14,0,4,4,4,0,0,0,45,39
20,20,40,4,193524,10,16,2,10,0,4,1,0,0,60,39
21,21,54,4,302146,11,9,5,8,4,2,0,0,0,20,39
22,22,35,1,76845,6,5,2,5,0,2,1,0,0,40,39
23,23,43,4,117037,1,7,2,14,0,4,1,0,2042,40,39
24,24,59,4,109015,11,9,0,13,4,4,0,0,0,40,39
25,25,56,2,216851,9,13,2,13,0,4,1,0,0,40,39
26,26,19,4,168294,11,9,4,3,3,4,1,0,0,40,39
27,27,54,0,180211,15,10,2,0,0,1,1,0,0,60,35
28,28,39,4,367260,11,9,0,4,1,4,1,0,0,80,39
29,29,49,4,193366,11,9,2,3,0,4,1,0,0,40,39
30,30,23,2,190709,7,12,4,11,1,4,1,0,0,52,39
31,31,20,4,266015,15,10,4,12,3,2,1,0,0,44,39
32,32,45,4,386940,9,13,0,4,3,4,1,0,1408,40,39
33,33,30,1,59951,15,10,2,1,3,4,1,0,0,40,39
34,34,22,7,311512,15,10,2,8,0,2,1,0,0,15,39
35,35,48,4,242406,1,7,4,7,4,4,1,0,0,40,33
36,36,21,4,197200,15,10,4,7,3,4,1,0,0,40,39
37,37,19,4,544091,11,9,1,1,5,4,0,0,0,25,39
38,38,31,4,84154,15,10,2,12,0,4,1,0,0,38,0
39,39,48,6,265477,7,12,2,10,0,4,1,0,0,40,39
40,40,31,4,507875,6,5,2,7,0,4,1,0,0,43,39
41,41,53,6,88506,9,13,2,10,0,4,1,0,0,40,39
42,42,24,4,172987,9,13,2,13,0,4,1,0,0,50,39
43,43,49,4,94638,11,9,5,1,4,4,0,0,0,40,39
44,44,25,4,289980,11,9,4,6,1,4,1,0,0,35,39
45,45,57,1,337895,9,13,2,10,0,2,1,0,0,40,39
46,46,53,4,144361,11,9,2,7,0,4,1,0,0,38,39
47,47,44,4,128354,12,14,0,4,4,4,0,0,0,40,39
48,48,41,7,101603,8,11,2,3,0,4,1,0,0,40,39
49,49,29,4,271466,8,11,4,10,1,4,1,0,0,43,39
50,50,25,4,32275,15,10,2,4,5,3,0,0,0,40,39
51,51,18,4,226956,11,9,4,8,3,4,0,0,0,30,0
52,52,47,4,51835,14,15,2,10,5,4,0,0,1902,60,16
53,53,50,1,251585,9,13,0,4,1,4,1,0,0,55,39
54,54,47,5,109832,11,9,0,4,1,4,1,0,0,60,39
55,55,43,4,237993,15,10,2,13,0,4,1,0,0,40,39
56,56,46,4,216666,4,3,2,7,0,4,1,0,0,40,26
57,57,35,4,56352,8,11,2,8,0,4,1,0,0,40,33
58,58,41,4,147372,11,9,2,1,0,4,1,0,0,48,39
59,59,30,4,188146,11,9,2,7,0,4,1,5013,0,40,39
60,60,30,4,59496,9,13,2,12,0,4,1,2407,0,40,39
61,61,32,0,293936,5,4,3,0,1,4,1,0,0,40,0
62,62,48,4,149640,11,9,2,14,0,4,1,0,0,40,39
63,63,42,4,116632,10,16,2,10,0,4,1,0,0,45,39
64,64,29,4,105598,15,10,0,13,1,4,1,0,0,58,39
65,65,36,4,155537,11,9,2,3,0,4,1,0,0,40,39
66,66,28,4,183175,15,10,0,1,1,4,0,0,0,40,39
67,67,53,4,169846,11,9,2,1,5,4,0,0,0,40,39
68,68,49,5,191681,15,10,2,4,0,4,1,0,0,50,39
69,69,25,0,200681,15,10,4,0,3,4,1,0,0,40,39
70,70,19,4,101509,15,10,4,10,3,4,1,0,0,32,39
71,71,31,4,309974,9,13,5,12,3,2,0,0,0,40,39
72,72,29,6,162298,9,13,2,12,0,4,1,0,0,70,39
73,73,23,4,211678,15,10,4,7,1,4,1,0,0,40,39
74,74,79,4,124744,15,10,2,10,2,4,1,0,0,20,39
75,75,27,4,213921,11,9,4,8,3,4,1,0,0,40,26
76,76,40,4,32214,7,12,2,1,0,4,1,0,0,40,39
77,77,67,0,212759,0,6,2,0,0,4,1,0,0,2,39
78,78,18,4,309634,1,7,4,8,3,4,0,0,0,22,39
79,79,31,2,125927,5,4,2,5,0,4,1,0,0,40,39
80,80,18,4,446839,11,9,4,12,1,4,1,0,0,30,39
81,81,52,4,276515,9,13,2,8,0,4,1,0,0,40,5
82,82,46,4,51618,11,9,2,8,5,4,0,0,0,40,39
83,83,59,4,159937,11,9,2,12,0,4,1,0,0,48,39
84,84,44,4,343591,11,9,0,3,1,4,0,14344,0,40,39
85,85,53,4,346253,11,9,0,12,3,4,0,0,0,35,39
86,86,49,2,268234,11,9,2,11,0,4,1,0,0,40,39
87,87,33,4,202051,12,14,2,10,0,4,1,0,0,50,39
88,88,30,4,54334,6,5,4,12,1,4,1,0,0,40,39
89,89,43,1,410867,10,16,4,10,1,4,0,0,0,50,39
90,90,57,4,249977,8,11,2,10,0,4,1,0,0,40,39
91,91,37,4,286730,15,10,0,3,4,4,0,0,0,40,39
92,92,28,4,212563,15,10,0,7,4,2,0,0,0,25,39
93,93,30,4,117747,11,9,2,12,5,1,0,0,1573,35,0
94,94,34,2,226296,9,13,2,11,0,4,1,0,0,40,39
95,95,29,2,115585,15,10,4,6,1,4,1,0,0,50,39
96,96,48,6,191277,10,16,2,10,0,4,1,0,1902,60,39
97,97,37,4,202683,15,10,2,12,0,4,1,0,0,48,39
98,98,48,4,171095,7,12,0,4,4,4,0,0,0,40,9
99,99,32,1,249409,11,9,4,8,3,2,1,0,0,40,39
100,100,76,4,124191,12,14,2,4,0,4,1,0,0,40,39
101,101,44,4,198282,9,13,2,4,0,4,1,15024,0,60,39
102,102,47,6,149116,12,14,4,10,1,4,0,0,0,50,39
103,103,20,4,188300,15,10,4,13,3,4,0,0,0,40,39
104,104,29,4,103432,11,9,4,3,1,4,1,0,0,40,39
105,105,32,5,317660,11,9,2,3,0,4,1,7688,0,40,39
106,106,17,0,304873,0,6,4,0,3,4,0,34095,0,32,39
107,107,30,4,194901,1,7,4,6,3,4,1,0,0,40,39
108,108,31,2,189265,11,9,4,1,1,4,0,0,0,40,39
109,109,42,4,124692,11,9,2,6,0,4,1,0,0,40,39
110,110,24,4,432376,9,13,4,12,2,4,1,0,0,40,39
111,111,38,4,65324,14,15,2,10,0,4,1,0,0,40,39
112,112,56,6,335605,11,9,2,8,0,4,1,0,1887,50,2
113,113,28,4,377869,15,10,2,12,5,4,0,4064,0,25,39
114,114,36,4,102864,11,9,4,7,3,4,0,0,0,40,39
115,115,53,4,95647,6,5,2,6,0,4,1,0,0,50,39
116,116,56,5,303090,15,10,2,12,0,4,1,0,0,50,39
117,117,49,2,197371,8,11,2,3,0,2,1,0,0,40,39
118,118,55,4,247552,15,10,2,12,0,4,1,0,0,56,39
119,119,22,4,102632,11,9,4,3,1,4,1,0,0,41,39
120,120,21,4,199915,15,10,4,8,3,4,0,0,0,40,39
121,121,40,4,118853,9,13,2,4,0,4,1,0,0,60,39
122,122,30,4,77143,9,13,4,4,3,2,1,0,0,40,11
123,123,29,7,267989,9,13,2,10,0,4,1,0,0,50,39
124,124,19,4,301606,15,10,4,8,3,2,1,0,0,35,39
125,125,47,4,287828,9,13,2,4,5,4,0,0,0,40,39
126,126,20,4,111697,15,10,4,1,3,4,0,0,1719,28,39
127,127,31,4,114937,7,12,2,1,0,4,1,0,0,40,39
128,128,35,0,129305,11,9,2,0,0,4,1,0,0,40,39
129,129,39,4,365739,15,10,0,3,1,4,1,0,0,40,39
130,130,28,4,69621,7,12,4,12,1,4,0,0,0,60,39
131,131,24,4,43323,11,9,4,8,1,4,0,0,1762,40,39
132,132,38,6,120985,11,9,2,3,0,4,1,4386,0,35,39
133,133,37,4,254202,9,13,2,12,0,4,1,0,0,50,39
134,134,46,4,146195,7,12,0,13,1,2,0,0,0,36,39
135,135,38,1,125933,12,14,2,10,0,4,1,0,0,40,20
136,136,43,6,56920,11,9,2,3,0,4,1,0,0,60,39
137,137,27,4,163127,8,11,2,1,5,4,0,0,0,35,39
138,138,20,4,34310,15,10,4,12,3,4,1,0,0,20,39
139,139,49,4,81973,15,10,2,3,0,1,1,0,0,40,39
140,140,61,5,66614,11,9,2,3,0,4,1,0,0,40,39
141,141,27,4,232782,15,10,4,12,3,4,0,0,0,40,39
142,142,19,4,316868,15,10,4,8,3,4,1,0,0,30,26
143,143,45,4,196584,8,11,4,10,1,4,0,0,1564,40,39
144,144,70,4,105376,15,10,4,13,2,4,1,0,0,40,39
145,145,31,4,185814,11,9,4,14,4,2,0,0,0,30,39
146,146,22,4,175374,15,10,2,8,0,4,1,0,0,24,39
147,147,36,4,108293,11,9,6,8,4,4,0,0,0,24,39
148,148,64,4,181232,1,7,2,3,0,4,1,0,2179,40,39
149,149,43,0,174662,15,10,0,0,1,4,0,0,0,40,39
150,150,47,2,186009,15,10,0,1,4,4,0,0,0,38,26
151,151,34,4,198183,11,9,4,1,1,4,0,0,0,40,39
152,152,33,4,163003,9,13,4,4,2,1,0,0,0,40,30
153,153,21,4,296158,11,9,4,3,3,4,1,0,0,35,39
154,154,52,0,252903,11,9,0,0,1,4,1,0,0,45,39
155,155,48,4,187715,11,9,2,3,0,4,1,0,0,46,39
156,156,23,4,214542,9,13,4,6,1,4,1,0,0,40,39
157,157,71,6,494223,15,10,5,12,4,2,1,0,1816,2,39
158,158,29,4,191535,11,9,0,3,1,4,1,0,0,60,39
159,159,42,4,228456,9,13,5,8,2,2,1,0,0,50,39
160,160,68,0,38317,3,2,0,0,1,4,0,0,0,20,39
161,161,25,4,252752,11,9,4,8,4,4,0,0,0,40,39
162,162,44,5,78374,12,14,0,4,4,1,0,0,0,40,39
163,163,28,4,88419,11,9,4,4,1,1,0,0,0,40,9
164,164,45,6,201080,12,14,2,12,0,4,1,0,0,40,39
165,165,36,4,207157,15,10,0,8,4,4,0,0,0,40,26
166,166,39,1,235485,7,12,4,4,1,4,1,0,0,42,39
167,167,46,7,102628,12,14,6,11,4,4,1,0,0,40,39
168,168,18,4,25828,1,7,4,6,3,4,1,0,0,16,39
169,169,66,2,54826,8,11,6,10,1,4,0,0,0,20,39
170,170,27,4,124953,11,9,4,8,1,4,1,0,1980,40,39
171,171,28,7,175325,11,9,2,11,0,4,1,0,0,40,39
172,172,51,4,96062,15,10,2,12,0,4,1,0,1977,40,39
173,173,27,4,428030,9,13,4,3,1,4,1,0,0,50,39
174,174,28,7,149624,9,13,2,10,0,4,1,0,0,40,39
175,175,27,4,253814,11,9,3,12,4,4,0,0,0,25,39
176,176,21,4,312956,11,9,4,3,3,2,1,0,0,40,39
177,177,34,4,483777,11,9,4,6,1,2,1,0,0,40,39
178,178,18,4,183930,11,9,4,8,3,4,1,0,0,12,39
179,179,33,4,37274,9,13,2,10,0,4,1,0,0,65,39
180,180,44,2,181344,15,10,2,4,0,2,1,0,0,38,39
181,181,43,4,114580,15,10,0,1,1,4,0,0,0,40,39
182,182,30,4,633742,15,10,4,3,1,2,1,0,0,45,39
183,183,40,4,286370,5,4,2,7,0,4,1,0,0,40,26
184,184,37,1,29054,15,10,2,1,0,4,1,0,0,42,39
185,185,34,4,304030,11,9,2,1,0,2,1,0,0,40,39
186,186,41,6,143129,9,13,0,4,1,4,0,0,0,40,39
187,187,53,0,135105,9,13,0,0,1,4,0,0,0,50,39
188,188,31,4,99928,12,14,2,10,5,4,0,0,0,50,39
189,189,58,7,109567,10,16,2,10,0,4,1,0,0,1,39
190,190,38,4,155222,15,10,0,7,1,2,0,0,0,28,39
191,191,24,4,159567,15,10,2,7,0,4,1,0,0,40,39
192,192,41,2,523910,9,13,2,3,0,2,1,0,0,40,39
193,193,47,4,120939,15,10,2,13,0,4,1,0,0,45,39
194,194,41,1,130760,9,13,2,13,0,4,1,0,0,24,39
195,195,23,4,197387,4,3,2,14,2,4,1,0,0,40,26
196,196,36,4,99374,15,10,0,3,1,4,1,0,0,40,39
197,197,40,1,56795,12,14,4,4,1,4,0,14084,0,55,39
198,198,35,4,138992,12,14,2,10,2,4,1,7298,0,40,39
199,199,24,6,32921,11,9,4,12,1,4,1,0,0,40,39
200,200,26,4,397317,12,14,4,10,1,4,0,0,1876,40,39
201,201,19,0,170653,11,9,4,0,3,4,1,0,0,40,22
202,202,51,4,259323,9,13,2,4,0,4,1,0,0,50,39
203,203,42,2,254817,15,10,4,10,1,4,0,0,1340,40,39
204,204,37,7,48211,11,9,0,1,4,4,0,0,0,35,39
205,205,18,4,140164,1,7,4,12,3,4,0,0,0,40,39
206,206,36,4,128757,9,13,2,8,0,2,1,7298,0,36,39
207,207,35,4,36270,11,9,0,3,1,4,1,0,0,60,39
208,208,58,5,210563,11,9,2,12,5,4,0,15024,0,35,39
209,209,17,4,65368,1,7,4,12,3,4,0,0,0,12,39
210,210,44,2,160943,11,9,2,14,0,2,1,0,0,40,39
211,211,37,4,208358,11,9,2,3,0,4,1,0,0,40,39
212,212,35,4,153790,15,10,4,12,1,0,0,0,0,40,39
213,213,60,4,85815,11,9,2,3,0,1,1,0,0,40,39
214,214,54,5,125417,5,4,2,7,0,4,1,0,0,40,39
215,215,37,4,635913,9,13,4,4,1,2,1,0,0,60,39
216,216,50,4,313321,7,12,0,12,1,4,0,0,0,40,39
217,217,38,4,182609,9,13,2,12,0,4,1,0,0,50,31
218,218,45,4,109434,9,13,2,10,0,4,1,0,0,55,39
219,219,25,4,255004,0,6,4,3,1,4,1,0,0,40,39
220,220,31,4,197860,15,10,2,6,0,4,1,0,0,40,39
221,221,64,0,187656,3,2,0,0,1,4,1,0,0,40,39
222,222,90,4,51744,11,9,4,8,1,2,1,0,2206,40,39
223,223,54,4,176681,11,9,2,1,0,2,1,0,0,20,39
224,224,53,2,140359,13,1,4,7,1,4,0,0,0,35,39
225,225,18,4,243313,11,9,4,12,3,4,0,0,0,40,39
226,226,60,0,24215,0,6,0,0,1,0,0,0,0,10,39
